Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Draconic Augmentation,One enemy adj. to ally who hits w/ augmented attack takes 0 damage of breath type,DRMZ,,,,,,,,Dragonborn,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Rejuvenation,"On temp HP gain from Arcane Rejuvenation, ally also gains +2 defenses",DRMZ,,,,,,,,Dwarf,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Echoing Rejuvenation,"On ally temp HP gain from Arcane Rejuvenation, you gain resist 2 all",DRMZ,,,,,,,,Goliath,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Causticsoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 acid",DRMZ,,,,,,,,Genasi (Causticsoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Cindersoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 fire",DRMZ,,,,,,,,Genasi (Cindersoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Earthsoul),"When using Resistive Formula/Shielding Elixir, target gains +1 to save",DRMZ,,,,,,,,Genasi (Earthsoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Firesoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 fire",DRMZ,,,,,,,,Genasi (Firesoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Plaguesoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 poison",DRMZ,,,,,,,,Genasi (Plaguesoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Stormsoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 lightning",DRMZ,,,,,,,,Genasi (Stormsoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Voidsoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 psychic",DRMZ,,,,,,,,Genasi (Voidsoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Watersoul),"When using Resistive Formula/Shielding Elixir, target gains +2 to saves against ongoing damage",DRMZ,,,,,,,,Genasi (Watersoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Infusion (Windsoul),"When using Resistive Formula/Shielding Elixir, target gains resist 5 cold",DRMZ,,,,,,,,Genasi (Windsoul),,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Furious Concoction,Ally can end effect of Resistive Formula/Shielding Elixir to deal 1d8 extra damage,DRMZ,,,,,,,,Half-orc,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Gloaming Infusion,Ally can end effect of Resistive Formula/Shielding Elixir to gain insubstantial,DRMZ,,,,,,,,Shadar-kai,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Human Innovation,Can spend AP to also allow adj. ally to regain magic item daily,DRMZ,,,,,,,,Human,Half-Elf,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Inciting Energy,Creature benefiting from Augment Energy gains +2 init,DRMZ,,,,,,,,Githzerai,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Iron Formula,"If you have not used Iron Mind when using Resistive Formula, +1 to all defenses",DRMZ,,,,,,,,Githzerai,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Draft,Ally can end effect of Resistive Formula/Shielding Elixir to force reroll of incoming attack,DRMZ,,,,,,,,Halfling,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Nature's Rejuvenation,"When ally gains temp HP from Arcane Rejuvenation, can also shift 1",DRMZ,,,,,,,,Wilden,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Nessian Rejuvenation,"When ally gains temp HP from Arcane Rejuvenation, +0 fire damage",DRMZ,,,,,,,,Tiefling,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Phantasmal Elixir,"You or Shielding Elixir ally can trigger Fade Away, if ally does, you and ally become invisible",DRMZ,,,,,,,,Gnome,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Reaping Infusion,"On Dark Reaping, one ally benefiting from Resistive Formula/Shielding Elixir deals 1d6 extra necrotic",DRMZ,,,,,,,,Revenant,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Redistribute Minions,"On use of Fey Step, can teleport each summoned creature same amount",DRMZ,,,,,,,,Eladrin,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Shifter's Energy,Benefit of shifter power extends to one ally benefiting from Augment Energy,DRMZ,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Spare Infusion,Can expend Dilettante power to use Healing Infusion one extra time,DRMZ,,,,,,,,Half-Elf,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Toxic Energy,"On Augment Energy hit, ally gains 1d6 extra damage",DRMZ,,,,,,,,Drow,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Vanishing Concoction,Ally can end Resistive Formula/Shielding Elixir to teleport 2,DRMZ,,,,,,,,Eladrin,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Angelic Harrier,"When you hit only one target w/ enc. or daily, can slide target 1",DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Bitter Rebuke,"Add to Rebuke Undead: On hit, ",DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Breath of the Gods,"Dragon breath is considered divine, +2 Diplomacy",DRMZ,,,,,,,,,,Invoker,,,,,0,,,,,,,,,,,,,,,,,,,
Carceri's Manacles,Any enemy adj. to summoned creature is slowed,DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Crushing Doom,"When targeting w/ Maledictor's Doom, enemy takes -0 to damage rolls",DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Dark Invitation,"When using Dark Reaping, can pull target 0",DRMZ,,,,,,,,Revenant,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Dubious Manifestation,"When you trigger covenant manifestation in Cloud, ally w/in 10 gains concealment",DRMZ,,,,,,,,Drow,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Enduring Fury,"First time bloodied, gain CA w/ close burst or close blast powers",DRMZ,,,,,,,,Half-orc,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Flexible Covenant,Replace current covenant manifestation w/ another until next ext. rest,DRMZ,,,,,,,,Changeling,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Hand of Fury,"On miss w/ daily, can use Hand of Radiance as a minor",DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Heaven's Arrow,+2 to ranged invoker powers against isolated targets,DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Longtooth Doom,"On use of Longtooth Shifting, +2 damage w/ invoker attack powers",DRMZ,,,,,,,,"Shifter, Longtooth",,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Covenant,"On hit w/ enc. or daily, can shift 0 instead of benefiting from covenant",DRMZ,,,,,,,,"Shifter, Razorclaw",,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Nature's Doom,Gain benefits w/ Wilden racial powers,DRMZ,,,,,,,,Wilden,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Preserving Shadows,Preserver's Rebuke ally becomes insubstantial,DRMZ,,,,,,,,Shadar-kai,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Preserver's Summons,Can slide Preserver's Rebuke target 1 and end marked condition,DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Relentless Crusade,"When using Warforged Resolve, +1 to next attack roll",DRMZ,,,,,,,,Warforged,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Righteous Summons,Summoned creatures get: ,DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Unsettling Omen,Gain CA using close blast powers against adj. enemies,DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard's Eye,"On hit w/ ranged attack, each ally adj. to target gains +2 defenses against opp. attacks",DRMZ,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Wild Wrath,"On hit w/ Elven Accuracy for enc. or daily, +4 damage",DRMZ,,,,,,,,Elf,Half-Elf,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Accursed Isolation,"If targeting only one creature w/ Maledictor's Doom, -3 penalty to atk rolls, -5 to opp.",DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Pillar of Heaven,"On miss w/ enc. using a staff, +2 to all defenses",DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Preserver's Fury,"On use of Preserver's Rebuke and next atk hits, enemy gains vulnerable 0 all",DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Channeled Invocation,"When using ranged atk power through staff, can use power w/ range melee 1",DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Wrathful Outburst,Can target one add'l enemy w/ Armor of Wrath,DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Wrathful Panoply,"On use of Armor of Wrath, +0 to all defenses",DRMZ,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Binding Wrath,Immobilize w/ Armor of Wrath instead of damaging,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Cascading Doom,Maledictor's Doom gains vulnerable all equal to number of targets,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Dreadful Invocation,"Crit moves enemy away speed, -2 to atk rolls",DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Inexorable Tide,Push Maledictor's Doom target 1 when it takes damage,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Invoker Implement Expertise,Crit on a 19 or 20,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Preserver's Command,Grant basic attack with Preserver's Rebuke,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Reaching Invocation,Target add'l enemy w/ close burst or blast,DRMZ,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Critical Teamwork,"When beast crits, it deals extra d6 damage",DRMZ,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Flanking Beast Master,"While flanking w/ beast, you and beast gain +3 to atks for CA",DRMZ,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Knowing Eyes,"When adj. to beast and making Insight check, can roll twice and use better",DRMZ,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Scion of Onat,#REF!,DRMZ,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Terrifying Duo,"While adj. to beast, gain +5 Intimidate",DRMZ,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Crow's Flight,"Ignore difficult terrain when running, +2 Acrobatics, Athletics",DRMZ,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",,0,,0,,,,,,,,,,,,,,,,,,,,,
Unchained Beast,End one effect that dazes or weakens you when using Shifting power,DRMZ,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Urban Predator,Treat result of 2-7 on Athletics/Streetwise check as 8,DRMZ,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Draw Out the Beast,"When you spend a surge to regain HP, can treat yourself as bloodied",DRMZ,,,,,,,11,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Predatory Spirit,"On use of Shifting power, can reroll one attack roll and take either result",DRMZ,,,,,,,11,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Primal Instincts,"When using Shifting power, until no longer bloodied at-wills do 0 damage on a miss",DRMZ,,,,,,,21,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Close to Death,"If bloodied, do not need to meet Shadow Step requirement to gain effect",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Concealing Shades,"On Dark Reaping, you and each ally w/in 5 gain concealment",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Death Walk,"When using Dark Reaping, can use Shadow Step for free",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Death Wastes Nothing,"When using Dark Reaping, can transfer any shrouds on creature to another w/in 10",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Quick and Dead,"When using Dark Reaping, increase Shadow Step teleport distance by 1",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Raven Queen's Disciple,"+1 to temp HP gained from Bleak Disciple, +2 if unbloodied target is undead or shadow",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Raven Queen's Sanction,"When invoking shrouds on undead or shadow, on miss do not subtract one",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Reaping Ki,"When using Dark Reaping, on next miss w/ ki focus target takes 0 necrotic",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Swallowed by Shadow,"When using Dark Reaping, become invisible",DRMZ,,,,,,,,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Death Shroud,Become invisible to undead/shadow as long as Shade Form lasts,DRMZ,,,,,,,11,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Specter of Death,"While unconscious, you are insubstantial",DRMZ,,,,,,,11,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Vanish into Shadow,"When you use Shadow Step, gain concealment",DRMZ,,,,,,,21,Revenant,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Benefit of Foresight,Can roll Intimidate twice,DRMZ,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaze of Ruin,"+2 Insight/Perception against other Tieflings, Gaze of Ruin enc. power",DRMZ,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasting Decay,Target's vulnerability lasts until enc. end or you can no longer see target,DRMZ,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruin of Flesh,"When using Gaze of Ruin on used object, creature gains vulnerable 0 all",DRMZ,,,,,,,11,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeping Gaze,Can target one or two objects w/ Gaze of Ruin,DRMZ,,,,,,,21,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
See It Coming,"On hit by flanking creature, being flanked does not grant CA",DRMZ,,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory of Strikes Past,Replace 6th level or higher Utility w/ Memory is a Weapon,DRMZ,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Targeting,"On crit w/ melee or ranged, attack deals 2 extra damage, +2 damage rolls",DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield of Hestavar,"While adj. to you, ally gains resist 2 to attacks from marked",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speaker of Hestavar,"When you subject enemy to forced movement and end it next to ally, enemy grants CA",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Hestavar,"While adj. to you, ally gains +2 healing surge value",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sword of Hestavar,"While enemy grants CA, each ally adj. to you gains +2 to damage rolls",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunting Shade,"Shadow origin, +2 Stealth, Darkvision 5",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Haunting Shade Novice,Swap one 3rd level or higher enc. power for Black Blade of Despair,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunting Shade Expert,Swap one 6rd level or higher util. power for Shade Stride,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunting Shade Specialist,Swap one 9th level or higher daily power for Gathering of Shadows,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspirational Survival,"When you succeed on a save, each ally w/in 5 gains +2 to saves",DRMZ,,,,,,,21,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Prescient Retaliation,Can use Mind Spike as an immediate interrupt,DRMZ,,,,,,,21,,,Battlemind,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Aegis Reaction,First use of Aegis immediate action does not count towards limit,DRMZ,,,,,,,21,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Combat Challenge,First use of Combat Challenge immediate action does not count towards limit,DRMZ,,,,,,,21,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Mind Spike,First use of Mind Spike immediate action does not count towards limit,DRMZ,,,,,,,21,,,Battlemind,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Wild Defense,First use of Warden's Fury/Grasp immediate action does not count towards limit,DRMZ,,,,,,,21,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Surprise Mark,"When rolling initiative and not surprised, can mark 1 w/in 10",DRMZ,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength Through Challenge,Gain resist 5 all while you have two or more enemies marked,DRMZ,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swordmage Implement Expertise,Swordmage powers crit on 19-20 when using implement,DRMZ,,,,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanding Vow,"On divine sanction of adj. enemy, slide it 1",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Divinity's Shield,"When using C. Divinity, gain +2 Fort, Ref, Will",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Implacable Mettle,"If Divine Mettle target fails save, you gain add'l Channel Divinity, target +2 defenses",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
In Shining Armor,"If wearing plate, using a shield, conscious, allies gain +1 AC ",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Knightly Bearing,+2 Diplomacy/Intimidate,DRMZ,,,,,,,,,,Paladin,,,,,0,,,,,,0,,,,,,,,,,,,,
Lend Health,"When you heal ally, ally can use your surge value to determine gain",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Mercy's Reward,"On crit, can reduce to normal, you and ally next to you can spend surge, gain 10 add'l HP",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Selfless Protector,"When adj. ally is bloodied or drops, slide ally 1, shift in to space",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Sudden Smite,"On hit, can use Divine Strength for free and apply damage to attack instead of next",DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Angelic Protection,"On Lay of Hands, can grant temp HP instead of healing",DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Fulfilled Vow,"On first drop of marked enemy, +5 to next damage roll",DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Hero's Poise,"On save, each ally w/in 5 gains +0 to saves",DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Holy Steed,"While mounted, mount gains +2 defenses, +0 damage rolls",DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Just Punishment,"When enemy drops ally, you gain +1 attack against enemy as long as ally is down",DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Virtue's Chosen,Virtue's Touch can also remove ongoing damage,DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Wrathful Conviction,Extra damage from Divine Strength equals +0,DRMZ,,,,,,,11,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Champion's Countenance,"While at max HP, allies gain +2 Fort, Ref, Will",DRMZ,,,,,,,21,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Promise of Judgment,"On miss w/ Paladin attack, target subject to divine sanction",DRMZ,,,,,,,21,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Psionic Trick,Do not provoke oppurtunity attacks from enemies granting you CA,DRMZ,,,,,,,,Changeling,,,,,,,,,,,,,,,,,,,,,,,,,,
Resurgent Memory,"On Memory use, can shift 1, on a miss or failed save, gain 0 temp HP",DRMZ,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Infectious Wrath,"When first bloodied, each ally w/in 5 gain +1 attack rolls",DRMZ,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Unstoppable Drive,"Can shift 1 when using second wind, must end adj. to enemy",DRMZ,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Cause,"When ally in Group Diplomacy uses second wind, also gains 3 temp HP",DRMZ,,,,,,,,Half-elf,,Ardent,,,,,,,,,,,,,,,,,,,,,,,,
Flowing River Style,"If you haven't used Second Chance, can shift through enemy squares w/ monk powers",DRMZ,,,,,,,,Halfling,,Monk,,,,,,,,,,,,,,,,,,,,,,,,
Courageous Mind,"+2 Initiative, +1 saves when bloodied",DRMZ,,,,,,,,Human,Half-elf,,,,,,,,,,,,,,,,,,,0,,,,,,
Mindfire Disciple,"On save against psychic attack condition, slide enemy 1, enemy gains vulnerable 5 psychic",DRMZ,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Darting Shade,"On taking damage in Shade Form, free Shadow Step",DRMZ,,,,,,,,,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Leaping Shadows,"On dropping enemy, can use Shadow Step for free",DRMZ,,,,,,,,,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Death's Pall,"While adj. to shroud target, gain conc. From others (total if > 3)",DRMZ,,,,,,,11,,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Drawn Shadows,Have conc. While w/in 2 squares of dim light or darkness,DRMZ,,,,,,,11,,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Untouchable Shade,"On Shadow Step, become insub. To attacks from shroud targets ",DRMZ,,,,,,,21,,,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
Burn Everything,Arcane powers ignore 0 points of fire resist,DRMZ,,,,,,,,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Stoking the Fire,"On hit w/ fire attack, +2 damage to next fire damage roll",DRMZ,,,,,,,,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Sympathy of Flame,+2 to damage rolls w/ arcane fire powers against creatures taking ongoing fire,DRMZ,,,,,,,,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Consuming the Weak,"On hit w/ vulnerable fire, target takes ongoing 5 fire",DRMZ,,,,,,,11,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Blood of Dragons,"+2 defenses against fear, +4 from dragons",DRMZ,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Guardian,"On hit with Dragonfear, can mark creature",DRMZ,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Intimidation of the Dragon,+4 Intimidate,DRMZ,,,,,,,,Dragonborn,,,,,,,,,,,,,0,,,,,,,,,,,,,
Dragon's Rejuvenation,Regain use of Dragonfear w/ second wind,DRMZ,,,,,,,11,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon's Terror,One creature hit w/ Dragonfear is also dazed,DRMZ,,,,,,,11,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift of the Trees,"When using Wilden racial, one ally w/in 10 can shift 1",DRMZ,,,,,,,,Wilden,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilden Adaptability,"When using Wilden racial, can ignore difficult terrain on shift",DRMZ,,,,,,,,Wilden,,,,,,,,,,,,,,,,,,,,,,,,,,
Briar Thorns,"When you deal ongoing damage, enemy slowed until ongoing ends",DRMZ,,,,,,,11,Wilden,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinging Vines,Gain climb ,DRMZ,,,,,,,11,Wilden,,,,,,,,,,,,,,,,,,,,,,,,,,
Beshaba's Boon,"When an enemy fails save against your condition, gain 5 temp HP",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heroes Make Their Own Luck,"When spending AP, +1 all defenses",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luck of Champions,"On first save, +2 all attack rolls, skill checks, saves",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymora's Smile,"On nat 20, you and one ally w/in 5 can make save",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luck of the Gods,"On nat 20, remove all effects a save can end",DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Covenant of Nessus,"Can allow target to make melee basic, if so, it takes 5 fire damage",PHRT,,,,,,,,Tiefling,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Blood Pact of Cania,+2 to damage rolls w/ Warlock powers using Con,PHRT,,,,,,,,Tiefling,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhunter's Dread,"On hit of bloodied enemy, -2 to attacks against you",PHRT,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhunter's Flank,"When flanking, you and flanking ally gain +2 to damage rolls",PHRT,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Burning Wrath of Phlegethos,"If you use Infernal Wrath on Oath target, melee against that target deal 0 extra fire damage",PHRT,,,,,,,,Tiefling,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Clever Tail,"Can use tail to draw/stow object, make Thievery checks",PHRT,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloying Shadow of Maladomini,"On melee hit while concealed, gain CA against target",PHRT,,,,,,,,Tiefling,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Hellbook,"Can choose fear/fire daily spell on ext. rest, swap it in with a minor",PHRT,,,,,,13,,Tiefling,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Hellish Blast,"Can have Eldritch Blast deal fire damage, if so, +1 damage",PHRT,,,,,,,,Tiefling,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Icy Clutch of Stygia,"On enemy's successful ongoing damage save, takes 0 cold damage",PHRT,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernal Touch of Warding,"When you use Lay on Hands, target also gains resist 5 fire",PHRT,,,,,,,,Tiefling,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
